Lugar de condena;Sexo del infractor;Periodo;Total
Total;Total;2022;426.416
Total;Total;2021;410.842
Total;Total;2020;311.271
Total;Total;2019;412.571
Total;Total;2018;406.327
Total;Total;2017;394.301
Total;Total;2016;365.202
Total;Hombres;2022;351.758
Total;Hombres;2021;337.421
Total;Hombres;2020;254.942
Total;Hombres;2019;332.039
Total;Hombres;2018;326.764
Total;Hombres;2017;317.597
Total;Hombres;2016;299.011
Total;Mujeres;2022;74.658
Total;Mujeres;2021;73.421
Total;Mujeres;2020;56.329
Total;Mujeres;2019;80.532
Total;Mujeres;2018;79.563
Total;Mujeres;2017;76.704
Total;Mujeres;2016;66.191
02 Albacete;Total;2022;2.559
02 Albacete;Total;2021;2.320
02 Albacete;Total;2020;2.017
02 Albacete;Total;2019;2.486
02 Albacete;Total;2018;2.788
02 Albacete;Total;2017;2.900
02 Albacete;Total;2016;2.712
02 Albacete;Hombres;2022;2.080
02 Albacete;Hombres;2021;1.901
02 Albacete;Hombres;2020;1.664
02 Albacete;Hombres;2019;2.017
02 Albacete;Hombres;2018;2.245
02 Albacete;Hombres;2017;2.384
02 Albacete;Hombres;2016;2.296
02 Albacete;Mujeres;2022;479
02 Albacete;Mujeres;2021;419
02 Albacete;Mujeres;2020;353
02 Albacete;Mujeres;2019;469
02 Albacete;Mujeres;2018;543
02 Albacete;Mujeres;2017;516
02 Albacete;Mujeres;2016;416
03 Alicante/Alacant;Total;2022;21.164
03 Alicante/Alacant;Total;2021;19.878
03 Alicante/Alacant;Total;2020;16.627
03 Alicante/Alacant;Total;2019;22.300
03 Alicante/Alacant;Total;2018;20.666
03 Alicante/Alacant;Total;2017;18.674
03 Alicante/Alacant;Total;2016;16.509
03 Alicante/Alacant;Hombres;2022;17.423
03 Alicante/Alacant;Hombres;2021;16.367
03 Alicante/Alacant;Hombres;2020;13.659
03 Alicante/Alacant;Hombres;2019;18.205
03 Alicante/Alacant;Hombres;2018;16.865
03 Alicante/Alacant;Hombres;2017;15.371
03 Alicante/Alacant;Hombres;2016;13.768
03 Alicante/Alacant;Mujeres;2022;3.741
03 Alicante/Alacant;Mujeres;2021;3.511
03 Alicante/Alacant;Mujeres;2020;2.968
03 Alicante/Alacant;Mujeres;2019;4.095
03 Alicante/Alacant;Mujeres;2018;3.801
03 Alicante/Alacant;Mujeres;2017;3.303
03 Alicante/Alacant;Mujeres;2016;2.741
04 Almería;Total;2022;7.547
04 Almería;Total;2021;6.746
04 Almería;Total;2020;5.464
04 Almería;Total;2019;6.812
04 Almería;Total;2018;7.234
04 Almería;Total;2017;6.900
04 Almería;Total;2016;6.203
04 Almería;Hombres;2022;6.447
04 Almería;Hombres;2021;5.750
04 Almería;Hombres;2020;4.680
04 Almería;Hombres;2019;5.706
04 Almería;Hombres;2018;6.065
04 Almería;Hombres;2017;5.766
04 Almería;Hombres;2016;5.299
04 Almería;Mujeres;2022;1.100
04 Almería;Mujeres;2021;996
04 Almería;Mujeres;2020;784
04 Almería;Mujeres;2019;1.106
04 Almería;Mujeres;2018;1.169
04 Almería;Mujeres;2017;1.134
04 Almería;Mujeres;2016;904
01 Araba/Álava;Total;2022;3.691
01 Araba/Álava;Total;2021;3.657
01 Araba/Álava;Total;2020;2.555
01 Araba/Álava;Total;2019;3.091
01 Araba/Álava;Total;2018;3.515
01 Araba/Álava;Total;2017;3.234
01 Araba/Álava;Total;2016;2.939
01 Araba/Álava;Hombres;2022;2.966
01 Araba/Álava;Hombres;2021;2.916
01 Araba/Álava;Hombres;2020;2.022
01 Araba/Álava;Hombres;2019;2.452
01 Araba/Álava;Hombres;2018;2.756
01 Araba/Álava;Hombres;2017;2.575
01 Araba/Álava;Hombres;2016;2.291
01 Araba/Álava;Mujeres;2022;725
01 Araba/Álava;Mujeres;2021;741
01 Araba/Álava;Mujeres;2020;533
01 Araba/Álava;Mujeres;2019;639
01 Araba/Álava;Mujeres;2018;759
01 Araba/Álava;Mujeres;2017;659
01 Araba/Álava;Mujeres;2016;648
33 Asturias;Total;2022;8.963
33 Asturias;Total;2021;8.579
33 Asturias;Total;2020;6.570
33 Asturias;Total;2019;8.824
33 Asturias;Total;2018;9.032
33 Asturias;Total;2017;9.166
33 Asturias;Total;2016;8.656
33 Asturias;Hombres;2022;7.163
33 Asturias;Hombres;2021;6.992
33 Asturias;Hombres;2020;5.250
33 Asturias;Hombres;2019;7.024
33 Asturias;Hombres;2018;7.241
33 Asturias;Hombres;2017;7.363
33 Asturias;Hombres;2016;7.084
33 Asturias;Mujeres;2022;1.800
33 Asturias;Mujeres;2021;1.587
33 Asturias;Mujeres;2020;1.320
33 Asturias;Mujeres;2019;1.800
33 Asturias;Mujeres;2018;1.791
