Provincias;Sexo;Periodo;Total
Total;Total;2022;329.251
Total;Total;2021;337.380
Total;Total;2020;341.315
Total;Total;2019;360.617
Total;Total;2018;372.777
Total;Total;2017;393.181
Total;Total;2016;410.583
Total;Total;2015;420.290
Total;Total;2014;427.595
Total;Total;2013;425.715
Total;Total;2012;454.648
Total;Total;2011;471.999
Total;Total;2010;486.575
Total;Total;2009;494.997
Total;Total;2008;519.779
Total;Total;2007;492.527
Total;Total;2006;482.957
Total;Total;2005;466.371
Total;Total;2004;454.591
Total;Total;2003;441.881
Total;Total;2002;418.846
Total;Total;2001;406.380
Total;Total;2000;397.632
Total;Total;1999;380.130
Total;Total;1998;365.193
Total;Total;1997;369.035
Total;Total;1996;362.626
Total;Total;1995;363.469
Total;Total;1994;370.148
Total;Total;1993;385.786
Total;Total;1992;396.747
Total;Total;1991;395.989
Total;Total;1990;401.425
Total;Total;1989;408.434
Total;Total;1988;418.919
Total;Total;1987;426.782
Total;Total;1986;438.750
Total;Total;1985;456.298
Total;Total;1984;473.281
Total;Total;1983;485.352
Total;Total;1982;515.706
Total;Total;1981;533.008
Total;Total;1980;571.018
Total;Total;1979;601.992
Total;Total;1978;636.892
Total;Total;1977;656.357
Total;Total;1976;677.456
Total;Total;1975;669.378
Total;Hombres;2022;169.602
Total;Hombres;2021;174.148
Total;Hombres;2020;174.842
Total;Hombres;2019;185.523
Total;Hombres;2018;191.569
Total;Hombres;2017;202.478
Total;Hombres;2016;211.087
Total;Hombres;2015;216.496
Total;Hombres;2014;220.843
Total;Hombres;2013;219.056
Total;Hombres;2012;234.386
Total;Hombres;2011;243.292
Total;Hombres;2010;250.727
Total;Hombres;2009;255.954
Total;Hombres;2008;268.377
Total;Hombres;2007;253.895
Total;Hombres;2006;249.184
Total;Hombres;2005;240.201
Total;Hombres;2004;234.875
Total;Hombres;2003;227.584
Total;Hombres;2002;215.995
Total;Hombres;2001;208.787
Total;Hombres;2000;205.596
Total;Hombres;1999;195.742
Total;Hombres;1998;188.997
Total;Hombres;1997;190.112
Total;Hombres;1996;186.698
Total;Hombres;1995;187.399
Total;Hombres;1994;191.055
Total;Hombres;1993;199.406
Total;Hombres;1992;204.727
Total;Hombres;1991;204.878
Total;Hombres;1990;207.495
Total;Hombres;1989;211.201
Total;Hombres;1988;216.707
Total;Hombres;1987;221.297
Total;Hombres;1986;227.176
Total;Hombres;1985;236.229
Total;Hombres;1984;246.051
Total;Hombres;1983;251.585
Total;Hombres;1982;268.639
Total;Hombres;1981;278.175
Total;Hombres;1980;296.224
Total;Hombres;1979;310.911
Total;Hombres;1978;329.779
Total;Hombres;1977;339.101
Total;Hombres;1976;349.232
Total;Hombres;1975;346.386
Total;Mujeres;2022;159.649
Total;Mujeres;2021;163.232
Total;Mujeres;2020;166.473
Total;Mujeres;2019;175.094
Total;Mujeres;2018;181.208
Total;Mujeres;2017;190.703
Total;Mujeres;2016;199.496
Total;Mujeres;2015;203.794
Total;Mujeres;2014;206.752
Total;Mujeres;2013;206.659
Total;Mujeres;2012;220.262
Total;Mujeres;2011;228.707
Total;Mujeres;2010;235.848
Total;Mujeres;2009;239.043
Total;Mujeres;2008;251.402
Total;Mujeres;2007;238.632
Total;Mujeres;2006;233.773
Total;Mujeres;2005;226.170
Total;Mujeres;2004;219.716
Total;Mujeres;2003;214.297
Total;Mujeres;2002;202.851
Total;Mujeres;2001;197.593
Total;Mujeres;2000;192.036
Total;Mujeres;1999;184.388
Total;Mujeres;1998;176.196
Total;Mujeres;1997;178.923
Total;Mujeres;1996;175.928
Total;Mujeres;1995;176.070
Total;Mujeres;1994;179.093
Total;Mujeres;1993;186.380
Total;Mujeres;1992;192.020
Total;Mujeres;1991;191.111
